"","Domain","Scenario","Abundance_Class","Area","count","mean_obs","mean_shan","sd_obs","sd_shan"
"72","18S",3,"Intermediate","Region",63,12.5714285714286,1.9041331402538,12.4339730832886,1.03305520667682
"73","18S",3,"Rare","Pole",63,109.31746031746,4.00969288093364,99.8605197257534,0.657765834170442
"74","18S",3,"Rare","Region",63,103.428571428571,3.91717706073592,101.199693083449,0.750002882505873
"75","18S",4,"Abundant","Pole",63,8.3015873015873,1.52148936467668,7.22369515091719,0.687444489429838
"76","18S",4,"Abundant","Region",63,13.8730158730159,1.65761156404217,17.3051288905659,0.90188850543509
"77","18S",4,"Intermediate","Pole",63,46.0634920634921,3.17261435329257,30.6109157295621,0.768700697413723
"78","18S",4,"Intermediate","Region",63,49.3492063492063,3.1983925601668,37.0188089638483,0.80486611471345
"79","18S",4,"Rare","Pole",63,80.8253968253968,3.81692054289351,89.3098158970546,0.814286603613376
"80","18S",4,"Rare","Region",63,73.8730158730159,3.54864259755074,90.1767962543208,1.10363938376802
"81","18S",5,"Abundant","Pole",63,8.3015873015873,1.52148936467668,7.22369515091719,0.687444489429838
"82","18S",5,"Abundant","Region",63,13.8730158730159,1.65761156404217,17.3051288905659,0.90188850543509
"83","18S",5,"Intermediate","Pole",63,29.5238095238095,2.78414073184896,22.2687812309412,0.891345180251799
"84","18S",5,"Intermediate","Region",63,31.968253968254,2.80852209078565,26.3181332397414,0.924825631402196
"85","18S",5,"Rare","Pole",63,97.2539682539683,3.97616839982525,95.7099058233193,0.693183616401166
"86","18S",5,"Rare","Region",63,91.3174603174603,3.81866057916991,97.1181231877475,0.872900944721036
"87","18S",6,"Abundant","Pole",63,8.3015873015873,1.52148936467668,7.22369515091719,0.687444489429838
"88","18S",6,"Abundant","Region",63,13.8730158730159,1.65761156404217,17.3051288905659,0.90188850543509
"89","18S",6,"Intermediate","Pole",63,17.0793650793651,2.29567996115997,14.6301738433673,0.87844377443829
"90","18S",6,"Intermediate","Region",63,19.6666666666667,2.35133420895832,18.5315772355919,0.945639869100551
"91","18S",6,"Rare","Pole",63,109.31746031746,4.00969288093364,99.8605197257534,0.657765834170442
"92","18S",6,"Rare","Region",63,103.428571428571,3.91717706073592,101.199693083449,0.750002882505873
"93","18S",7,"Abundant","Pole",63,4.68253968253968,0.991690400071663,4.4570545634381,0.74913441165123
"94","18S",7,"Abundant","Region",63,8.38095238095238,1.18649835001583,10.8886276445458,1.02968703810316
"95","18S",7,"Intermediate","Pole",63,49.5714285714286,3.08446017448064,32.9367498865258,0.742407046990026
"96","18S",7,"Intermediate","Region",63,53.8888888888889,3.12532694491971,40.4535221605874,0.799996328606158
"97","18S",7,"Rare","Pole",63,80.8253968253968,3.81692054289351,89.3098158970546,0.814286603613376
"98","18S",7,"Rare","Region",63,73.8730158730159,3.54864259755074,90.1767962543208,1.10363938376802
"99","18S",8,"Abundant","Pole",63,4.68253968253968,0.991690400071663,4.4570545634381,0.74913441165123
"100","18S",8,"Abundant","Region",63,8.38095238095238,1.18649835001583,10.8886276445458,1.02968703810316
"101","18S",8,"Intermediate","Pole",63,33.1428571428571,2.79607270506306,24.9585832045017,0.790027506190487
"102","18S",8,"Intermediate","Region",63,36.8253968253968,2.83586975582234,30.9419538149803,0.848561630816789
"103","18S",8,"Rare","Pole",63,97.2539682539683,3.97616839982525,95.7099058233193,0.693183616401166
"104","18S",8,"Rare","Region",63,91.3174603174603,3.81866057916991,97.1181231877475,0.872900944721036
"105","18S",9,"Abundant","Pole",63,4.68253968253968,0.991690400071663,4.4570545634381,0.74913441165123
"106","18S",9,"Abundant","Region",63,8.38095238095238,1.18649835001583,10.8886276445458,1.02968703810316
"107","18S",9,"Intermediate","Pole",63,20.6984126984127,2.41930761091858,17.4888304637052,0.788307296152631
"108","18S",9,"Intermediate","Region",63,24.8412698412698,2.4884430156592,24.0055143861185,0.882361206731681
"109","18S",9,"Rare","Pole",63,109.31746031746,4.00969288093364,99.8605197257534,0.657765834170442
"110","18S",9,"Rare","Region",63,103.428571428571,3.91717706073592,101.199693083449,0.750002882505873
