"class.index" "n.dist" "Mantel.cor" "Pr.Mantel." "Pr.corrected." "property" "sig"
"D.cl.75" 0.83988307247619 111989 0.00151268976630393 0.453 1 "K" "non-significant"
"D.cl.85" 0.969095852857143 76824 0.00243997923520036 0.438 1 "K" "non-significant"
"D.cl.95" 1.0983086332381 49426 -0.00462497119308684 0.348 1 "K" "non-significant"
"D.cl.105" 1.22752141361905 26045 0.000615383760269113 0.495 1 "K" "non-significant"
"D.cl.120" 0.0646063901904761 3576 0.00141744030776987 0.283 0.283 "Mg" "non-significant"
"D.cl.27" 0.193819170571429 19354 -0.00172182875676416 0.408 0.566 "Mg" "non-significant"
"D.cl.36" 0.323031950952381 111973 0.00312549779717873 0.436 0.849 "Mg" "non-significant"
"D.cl.46" 0.452244731333333 167084 -0.00386932339385585 0.362 1 "Mg" "non-significant"
"D.cl.56" 0.581457511714286 182120 0.00792093256644943 0.225 1 "Mg" "non-significant"
"D.cl.66" 0.710670292095238 154560 -0.00241140528249978 0.369 1 "Mg" "non-significant"
"D.cl.76" 0.83988307247619 111989 0.0014886963243566 0.462 1 "Mg" "non-significant"
"D.cl.86" 0.969095852857143 76824 0.00254132087708655 0.411 1 "Mg" "non-significant"
"D.cl.96" 1.0983086332381 49426 -0.00453382912301638 0.321 1 "Mg" "non-significant"
"D.cl.106" 1.22752141361905 26045 0.000749909028224453 0.502 1 "Mg" "non-significant"
"D.cl.127" 0.0646063901904761 3576 0.00297263678964864 0.111 0.111 "Ca" "non-significant"
"D.cl.28" 0.193819170571429 19354 -0.000689145670819854 0.427 0.427 "Ca" "non-significant"
"D.cl.37" 0.323031950952381 111973 0.00953613426671707 0.228 0.456 "Ca" "non-significant"
"D.cl.47" 0.452244731333333 167084 -0.00191201635782349 0.429 0.854 "Ca" "non-significant"
"D.cl.57" 0.581457511714286 182120 0.0138453479286172 0.073 0.365 "Ca" "non-significant"
"D.cl.67" 0.710670292095238 154560 -0.00454637882448297 0.29 0.912 "Ca" "non-significant"
"D.cl.77" 0.83988307247619 111989 0.00119499502588587 0.486 1 "Ca" "non-significant"
"D.cl.87" 0.969095852857143 76824 -0.00772202886641924 0.214 1 "Ca" "non-significant"
"D.cl.97" 1.0983086332381 49426 -0.00402585450808446 0.336 1 "Ca" "non-significant"
"D.cl.107" 1.22752141361905 26045 -0.00326146291913093 0.339 1 "Ca" "non-significant"
