"","AC-BB-Stn101-0cm-0d-singlerep","AC-BB-Stn101-0cm-14d-rep1","AC-BB-Stn101-0cm-14d-rep2","AC-BB-Stn101-0cm-14d-rep3","AC-BB-Stn105-0cm-0d-singlerep","AC-BB-Stn105-0cm-14d-rep1","AC-BB-Stn105-0cm-14d-rep2","AC-BB-Stn105-0cm-14d-rep3","AC-BB-Stn108-0cm-0d-singlerep","AC-BB-Stn108-0cm-14d-rep1","AC-BB-Stn108-0cm-14d-rep2","AC-BB-Stn108-0cm-14d-rep3","AC-BB-Stn111-0cm-0d-singlerep","AC-BB-Stn111-0cm-14d-rep1","AC-BB-Stn111-0cm-14d-rep2","AC-BB-Stn111-0cm-14d-rep3","AC-BB-Stn115-0cm-0d-singlerep","AC-BB-Stn115-0cm-14d-rep1","AC-BB-Stn115-0cm-14d-rep2","AC-BB-Stn115-0cm-14d-rep3","AC-BB-Stn117-0cm-0d-singlerep","AC-BB-Stn117-0cm-14d-rep1","AC-BB-Stn117-0cm-14d-rep2","AC-BB-Stn117-0cm-14d-rep3","AC-BB-Stn124-0cm-0d-singlerep","AC-BB-Stn124-0cm-14d-rep1","AC-BB-Stn124-0cm-14d-rep2","AC-BB-Stn124-0cm-14d-rep3","AC-BB-Stn170-0cm-0d-singlerep","AC-BB-Stn170-0cm-14d-rep1","AC-BB-Stn170-0cm-14d-rep2","AC-BB-Stn170-0cm-14d-rep3","AC-BB-Stn172-0cm-0d-singlerep","AC-BB-Stn172-0cm-14d-rep1","AC-BB-Stn172-0cm-14d-rep2","AC-BB-Stn172-0cm-14d-rep3","AC-BB-Stn200-0cm-0d-singlerep","AC-BB-Stn200-0cm-14d-rep1","AC-BB-Stn200-0cm-14d-rep2","AC-BB-Stn200-0cm-14d-rep3","AC-BB-Stn210-0cm-0d-singlerep","AC-BB-Stn210-0cm-14d-rep1","AC-BB-Stn210-0cm-14d-rep2","AC-BB-Stn210-0cm-14d-rep3","AC-BB-Stn250-0cm-0d-singlerep","AC-BB-Stn250-0cm-14d-rep1","AC-BB-Stn250-0cm-14d-rep2","AC-BB-Stn250-0cm-14d-rep3","AC-BB-Stn254-0cm-0d-singlerep","AC-BB-Stn254-0cm-14d-rep1","AC-BB-Stn254-0cm-14d-rep2","AC-BB-Stn254-0cm-14d-rep3","MC-BB-Stn115-0cm-0d","MC-BB-Stn115-0cm-14d","MC-BB-Stn155-0cm-14d-B1","MC-BB-Stn155-0cm-14d-B2","MC-BB-Stn155-0cm-14d-B3","MC-BB-Stn155-Top-0d-B1","MC-BB-Stn155-Top-0d-B2","MC-BB-Stn155-Top-0d-B3","MC-BB-Stn155-Top-7d-B1","MC-BB-Stn155-Top-7d-B2","MC-BB-Stn155-Top-7d-B3","MC-BB-Stn176-0cm-0d","MC-BB-Stn176-0cm-14d","MC-BB-StnFbay-0cm-0d-B4","MC-BB-StnFbay-0cm-0d-B5","MC-BB-StnFbay-0cm-0d-B6","MC-BB-StnFbay-0cm-14d-B4","MC-BB-StnFbay-0cm-14d-B5","MC-BB-StnFbay-0cm-14d-B6","MC-BB-StnFbay-0cm-7d-B4","MC-BB-StnFbay-0cm-7d-B5","MC-BB-StnFbay-0cm-7d-B6","MC-LS-Stn640-0cm-0d-B7","MC-LS-Stn640-0cm-0d-B8","MC-LS-Stn640-0cm-0d-B9","MC-LS-Stn640-0cm-14d-B7","MC-LS-Stn640-0cm-14d-B8","MC-LS-Stn640-0cm-14d-B9","MC-LS-Stn640-0cm-7d-B7","MC-LS-Stn640-0cm-7d-B8","MC-LS-Stn640-0cm-7d-B9","MC-SS-Stn0003-0cm-0d-B1","MC-SS-Stn0003-0cm-0d-B2","MC-SS-Stn0003-0cm-0d-B3","MC-SS-Stn0003-0cm-14d-B1","MC-SS-Stn0003-0cm-14d-B2","MC-SS-Stn0003-0cm-14d-B3","MC-SS-Stn0003-0cm-7d-B1","MC-SS-Stn0003-0cm-7d-B2","MC-SS-Stn0003-0cm-7d-B3","MC-SS-Stn0003-255cm-0d-B4","MC-SS-Stn0003-255cm-0d-B5","MC-SS-Stn0003-255cm-0d-B6","MC-SS-Stn0003-255cm-14d-B4","MC-SS-Stn0003-255cm-14d-B5","MC-SS-Stn0003-255cm-14d-B6","MC-SS-Stn0003-255cm-7d-B4","MC-SS-Stn0003-255cm-7d-B5","MC-SS-Stn0003-255cm-7d-B6","MC-SS-Stn0003-550cm-0d-B7","MC-SS-Stn0003-550cm-0d-B8","MC-SS-Stn0003-550cm-0d-B9","MC-SS-Stn0003-550cm-14d-B7","MC-SS-Stn0003-550cm-14d-B8","MC-SS-Stn0003-550cm-14d-B9","MC-SS-Stn0003-550cm-7d-B7","MC-SS-Stn0003-550cm-7d-B8","MC-SS-Stn0003-550cm-7d-B9","MC-SS-Stn0013-0cm-0d-B10","MC-SS-Stn0013-0cm-0d-B11","MC-SS-Stn0013-0cm-0d-B12","MC-SS-Stn0013-0cm-14d-B10","MC-SS-Stn0013-0cm-14d-B11","MC-SS-Stn0013-0cm-14d-B12","MC-SS-Stn0013-0cm-7d-B10","MC-SS-Stn0013-0cm-7d-B11","MC-SS-Stn0013-0cm-7d-B12","MC-SS-Stn0013-400cm-0d-B13","MC-SS-Stn0013-400cm-0d-B14","MC-SS-Stn0013-400cm-0d-B15","MC-SS-Stn0013-400cm-14d-B13","MC-SS-Stn0013-400cm-14d-B14","MC-SS-Stn0013-400cm-14d-B15","MC-SS-Stn0013-400cm-7d-B13","MC-SS-Stn0013-400cm-7d-B14","MC-SS-Stn0013-400cm-7d-B15","MC-SS-Stn0013-900cm-14d-B16","MC-SS-Stn0013-900cm-14d-B17","MC-SS-Stn0013-900cm-14d-B18","MC-SS-Stn0013-Bottom-0d-B16","MC-SS-Stn0013-Bottom-0d-B17","MC-SS-Stn0013-Bottom-0d-B18","MC-SS-Stn0013-Bottom-7d-B16","MC-SS-Stn0013-Bottom-7d-B17","MC-SS-Stn0013-Bottom-7d-B18","MC-SS-Stn0022-0cm-0d-B1","MC-SS-Stn0022-0cm-0d-B2","MC-SS-Stn0022-0cm-0d-B3","MC-SS-Stn0022-0cm-14d-B1","MC-SS-Stn0022-0cm-14d-B2","MC-SS-Stn0022-0cm-14d-B3","MC-SS-Stn0022-0cm-7d-B1","MC-SS-Stn0022-0cm-7d-B2","MC-SS-Stn0022-0cm-7d-B3","MC-SS-Stn0022-400cm-0d-B4","MC-SS-Stn0022-400cm-0d-B5","MC-SS-Stn0022-400cm-0d-B6","MC-SS-Stn0022-400cm-14d-B4","MC-SS-Stn0022-400cm-14d-B5","MC-SS-Stn0022-400cm-14d-B6","MC-SS-Stn0022-400cm-7d-B4","MC-SS-Stn0022-400cm-7d-B5","MC-SS-Stn0022-400cm-7d-B6","MC-SS-Stn0022-690cm-14d-B7","MC-SS-Stn0022-690cm-14d-B8","MC-SS-Stn0022-690cm-14d-B9","MC-SS-Stn0022-Bottom-0d-B7","MC-SS-Stn0022-Bottom-0d-B8","MC-SS-Stn0022-Bottom-0d-B9","MC-SS-Stn0022-Bottom-7d-B7","MC-SS-Stn0022-Bottom-7d-B8","MC-SS-Stn0022-Bottom-7d-B9","MC-SV-StnJ2007-0cm-0d-B1","MC-SV-StnJ2007-0cm-0d-B2","MC-SV-StnJ2007-0cm-0d-B3","MC-SV-StnJ2007-0cm-7d-B1","MC-SV-StnJ2007-0cm-7d-B2","MC-SV-StnJ2007-0cm-7d-B3","MC-SV-StnJ2007-0cm-b4past","MC-SV-StnJ2016-0cm-0d-B1","MC-SV-StnJ2016-0cm-0d-B2","MC-SV-StnJ2016-0cm-0d-B3","MC-SV-StnJ2016-0cm-7d-B1","MC-SV-StnJ2016-0cm-7d-B2","MC-SV-StnJ2016-0cm-7d-B3","Kingdom","Phylum","Class","Order","Family","Genus","ASVID","Max"
"ASV37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.62611699,0,0,73.50395183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098967906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Thermicanales","Thermicanaceae","Thermicanus","ASV37",86.62611699
"ASV38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.845013777,0,0,1.130524152,0,0,0,0,0,0,0,0,0,0.185512367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Aneurinibacillales","Aneurinibacillaceae","Aneurinibacillus","ASV38",5.845013777
"ASV39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.96633705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Limnochordia","Limnochordales","Limnochordaceae","Limnochorda","ASV39",44.96633705
"ASV45",0,32.20795689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.92063492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32347206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39039666,0,0,22.53331337,0,0.13641014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Desulfallas-Sporotomaculum","BRH-c8a","ASV45",32.92063492
"ASV52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.22670556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032756456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050390527,0,0,0,0,0.051698671,0.299051787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2109838,11.49993322,6.839467773,0,0,0,0,2.642680888,0.906529905,3.115971936,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Proteiniboraceae","Proteiniborus","ASV52",31.22670556
"ASV58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.202159884,5.930279151,4.271643339,0,0,0,0,3.157419937,12.18578446,5.936167286,"Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Desulfallas-Sporotomaculum","Unclassified","ASV58",12.18578446
"ASV60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.905834321,5.516228129,6.573354069,0,0,0,0,2.812491708,6.95969373,6.685926537,"Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Desulfallas-Sporotomaculum","Unclassified","ASV60",6.95969373
"ASV73",0,0,0,0,0,0,0,0,0,0,34.41447593,0,0,11.61722726,0,0,0,37.14442614,0,0,0.219098046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063057819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026311943,0.090872948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Desulfallas-Sporotomaculum","Unclassified","ASV73",37.14442614
"ASV76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.14822547,0,0,23.15715926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416150777,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Tepidibacillus","ASV76",27.14822547
"ASV77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34583798,0.612745098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339851802,7.827412888,6.016389711,0,0,0,0,8.369702942,4.516923077,0,0,2.3174012,0,0,0,0,0,0,0,0,0,0,0,0,0,3.158629515,0.647032575,0,3.861078774,0.674073149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137971291,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Unclassified","ASV77",8.369702942
"ASV81",0,0,0,0.165346194,0,0,0,0,0,0,0,12.08492107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.585966618,0,0,0,2.384533957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.531015409,1.843194871,2.941074823,0,0,0,0,7.381464088,2.647356255,0.251066171,"Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Desulfotomaculales_fa","Desulfohalotomaculum","ASV81",12.08492107
"ASV86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.010396837,5.49528541,1.540616246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395565213,7.296549387,5.777373094,0,0,0,0,8.468252851,4.332307692,0,0,5.090006207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334691502,0.499313444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114840989,0.055392456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108350188,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Unclassified","ASV86",8.468252851
"ASV90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034895314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.550692925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.000395101,4.100440764,0,0,0,0,0,9.960465918,0,4.880313661,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Caminicellaceae","Caminicella","ASV90",9.960465918
"ASV97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.762605979,0,0,2.733741106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.63126844,0,0,4.551292926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144870275,0.14692133,0.444098842,0,0,0,0,1.201942211,1.119618607,1.200302655,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Unclassified","ASV97",16.63126844
"ASV103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275510538,0,0,0.931537598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Caldibacillus","ASV103",0.931537598
"ASV112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.29062567,0,0,24.10035986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Thermicanales","Thermicanaceae","Thermicanus","ASV112",33.29062567
"ASV130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.98346087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.03748719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846174108,0.454120475,0,0,0,0,0,1.196635623,1.018491765,0.171963131,"Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Desulfotomaculales_fa","Desulfohalotomaculum","ASV130",36.03748719
"ASV159",0,0.142653352,0.323378353,0.137788495,0,0.711678832,0,0,0,2.100789314,0,0,0,0,0.579409612,0,0,0,0,0,0,0,0.22500225,0,0,0,0,0.284967941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307891752,0.413835701,0.367747208,0,0.401136554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.341169457,0,0,3.126762833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037146117,0,0.127252717,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ASV159",3.126762833
"ASV160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75085773,0,0,11.27969158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.031778787,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Caminicellaceae","Caminicella","ASV160",12.75085773
"ASV168",0,0,0,0,0.130371297,0,0,0,0,0,0,0,0,0,0,6.516909405,0,0,18.8065729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.167449388,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Aeribacillus","ASV168",18.8065729
"ASV175",0,0,33.35552597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Desulfotomaculales_fa","Desulfohalotomaculum","ASV175",33.35552597
"ASV181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.772183104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Desulfotomaculales_fa","Desulfotomaculum","ASV181",2.772183104
